Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
Dickson Abiama,ngNGA,FW,Greuther Fürth,24,1998,13,5,533,5.9,3,0.17,0.68,0.51,0.68,0,1,0,2.6,0.07,0.51,0.51,Matches,15,38,0.51,0.44,0.44
Dickson Abiama,ngNGA,"FW,MF",Kaiserslautern,24,1998,13,0,247,2.7,0,0.00,0.00,0.00,0.00,0,3,0,0.5,0.11,0.29,0.29,Matches,5,20,0.00,0.19,0.19
Ragnar Ache,deGER,FW,Kaiserslautern,25,1998,26,22,"1,783",19.8,16,0.00,0.81,0.81,0.81,0,0,0,12.7,0.05,0.70,0.70,Matches,21,77,0.81,0.64,0.64
Aremu Afeez,ngNGA,"MF,FW",Kaiserslautern,23,1999,5,0,56,0.6,0,0.00,0.00,0.00,0.00,0,0,1,0.0,0.00,0.02,0.02,Matches,1,1,0.00,0.02,0.02
Oladapo Afolayan,engENG,"FW,MF",St. Pauli,25,1998,31,27,"2,201",24.5,9,0.12,0.49,0.37,0.49,0,4,0,4.9,0.11,0.32,0.32,Matches,59,211,0.37,0.20,0.20
Nikolas Agrafiotis,nlNED,"FW,DF",Wehen,23,2000,12,5,434,4.8,1,0.00,0.21,0.21,0.21,0,0,0,1.4,0.04,0.33,0.33,Matches,10,30,0.21,0.29,0.29
Andreas Albers,dkDEN,"FW,MF",St. Pauli,33,1990,17,3,430,4.8,1,0.00,0.21,0.21,0.21,0,0,0,1.7,0.06,0.40,0.40,Matches,4,33,0.21,0.35,0.35
Xavier Amaechi,engENG,"MF,FW",Magdeburg,22,2001,16,9,699,7.8,1,0.13,0.26,0.13,0.26,0,2,0,0.7,0.29,0.39,0.39,Matches,31,86,0.13,0.09,0.09
Stephan Ambrosius,ghGHA,DF,Hamburger SV,24,1998,18,12,"1,207",13.4,0,0.00,0.00,0.00,0.00,0,2,0,0.2,0.01,0.02,0.02,Matches,51,2,0.00,0.01,0.01
Etienne Amenyido,tgTOG,"FW,MF",St. Pauli,25,1998,19,0,198,2.2,1,0.91,1.36,0.45,1.36,0,1,0,0.4,0.26,0.44,0.44,Matches,12,31,0.45,0.18,0.18
Youssef Amyn,iqIRQ,"FW,MF",Braunschweig,19,2003,9,2,328,3.6,0,0.00,0.00,0.00,0.00,0,0,0,0.4,0.02,0.14,0.14,Matches,10,24,0.00,0.12,0.12
Sebastian Andersson,seSWE,FW,Nürnberg,32,1991,15,11,945,10.5,2,0.10,0.29,0.19,0.29,0,1,0,3.0,0.07,0.36,0.36,Matches,12,43,0.19,0.28,0.28
Thanasis Androutsos,grGRE,"DF,MF",Osnabrück,26,1997,13,8,722,8.0,0,0.00,0.00,0.00,0.00,0,4,0,0.1,0.02,0.03,0.03,Matches,51,31,0.00,0.02,0.02
Martin Angha,chSUI,DF,Wehen,29,1994,24,22,"2,019",22.4,0,0.00,0.00,0.00,0.00,0,8,1,1.0,0.05,0.10,0.10,Matches,62,13,0.00,0.05,0.05
Ilyas Ansah,deGER,"FW,MF",Paderborn 07,18,2004,24,14,"1,212",13.5,1,0.15,0.22,0.07,0.22,0,3,0,2.2,0.19,0.36,0.36,Matches,19,93,0.07,0.17,0.17
Nico Antonitsch,atAUT,DF,Elversberg,31,1991,3,0,87,1.0,0,0.00,0.00,0.00,0.00,0,1,0,0.2,0.00,0.19,0.19,Matches,2,0,0.00,0.19,0.19
Shinta Appelkamp,deGER,"MF,FW",Düsseldorf,22,2000,25,19,"1,701",18.9,3,0.53,0.69,0.16,0.69,0,0,0,1.6,0.28,0.37,0.37,Matches,88,84,0.16,0.09,0.09
Jann-Fiete Arp,deGER,"FW,MF",Holstein Kiel,23,2000,17,8,770,8.6,5,0.23,0.82,0.58,0.82,0,2,0,3.7,0.05,0.49,0.49,Matches,21,66,0.58,0.44,0.44
Bright Arrey-Mbi,deGER,DF,Hannover 96,20,2003,32,28,"2,456",27.3,0,0.00,0.00,0.00,0.00,0,3,0,0.3,0.00,0.01,0.01,Matches,82,23,0.00,0.01,0.01
Ahmet Arslan,deGER,"MF,FW",Magdeburg,29,1994,9,3,252,2.8,2,0.36,1.07,0.71,1.07,0,2,0,1.6,0.08,0.65,0.65,Matches,23,19,0.71,0.57,0.57
Simon Asta,deGER,DF,Greuther Fürth,22,2001,32,32,"2,650",29.4,2,0.14,0.20,0.07,0.20,0,5,0,1.4,0.08,0.13,0.13,Matches,91,157,0.07,0.05,0.05
Barış Atik,deGER,"FW,MF",Magdeburg,28,1995,33,33,"2,827",31.4,4,0.32,0.45,0.13,0.45,0,10,0,5.4,0.31,0.48,0.48,Matches,187,298,0.13,0.17,0.17
Janik Bachmann,deGER,"MF,DF",Hansa Rostock,27,1996,21,16,"1,368",15.2,0,0.00,0.00,0.00,0.00,0,2,0,1.3,0.02,0.10,0.10,Matches,23,16,0.00,0.08,0.08
