,Rk,Nation,# Players
0,1,Germany,362
1,2,Netherlands,14
2,3,Sweden,13
3,4,Austria,12
4,5,Japan,11
5,6,France,10
6,7,Bosnia,8
7,8,Poland,8
8,9,England,8
9,10,Switzerland,7
10,11,Greece,7
11,12,Croatia,7
12,13,Denmark,7
13,14,Morocco,6
14,15,Kosovo,5
15,16,United,4
16,17,Iceland,4
17,18,Australia,3
18,19,Türkiye,3
19,20,Tunisia,3
20,21,Hungary,3
21,22,Portugal,3
22,23,Ghana,3
23,24,Italy,3
24,25,Nigeria,3
25,Rk,,# Players
26,26,Serbia,2
27,27,Czech,2
28,28,Philippines,2
29,29,Côte,2
30,30,Slovakia,2
31,31,Finland,2
32,32,Cameroon,2
33,33,North,2
34,34,Norway,2
35,35,Brazil,2
36,36,Spain,2
37,37,Mali,2
38,38,Luxembourg,2
39,39,Estonia,1
40,40,Gambia,1
41,41,Libya,1
42,42,Suriname,1
43,43,Congo,1
44,44,Belgium,1
45,45,Korea,1
46,46,Senegal,1
47,47,Colombia,1
48,48,Georgia,1
49,49,Bulgaria,1
50,50,Canada,1
51,Rk,,# Players
52,51,Cape,1
53,52,Congo,1
54,53,Angola,1
55,54,New,1
56,55,Iraq,1
57,56,Togo,1
58,57,Wales,1
59,58,Scotland,1
60,59,Cyprus,1
61,60,Comoros,1
62,61,Zimbabwe,1
