,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
0,1.0,Fri,2023-07-28,20:30,Hamburger SV,5.4,5–3,1.7,Schalke 04,57000.0,Volksparkstadion,Matthias Jöllenbeck
1,1.0,Sat,2023-07-29,13:00,Hannover 96,1.7,2–2,1.7,Elversberg,29200.0,Heinz-von-Heiden-Arena,Alexander Sather
2,1.0,Sat,2023-07-29,13:00,Osnabrück,1.2,2–3,1.7,Karlsruher,15741.0,Stadion an der Bremer Brücke,Michael Bacher
3,1.0,Sat,2023-07-29,13:00,Kaiserslautern,1.1,1–2,2.3,St. Pauli,44079.0,Fritz-Walter-Stadion,Robert Schröder
4,1.0,Sat,2023-07-29,13:00,Wehen,0.8,1–1,1.4,Magdeburg,7219.0,BRITA-Arena,Benjamin Brand
5,1.0,Sat,2023-07-29,20:30,Düsseldorf,0.4,1–0,0.6,Hertha BSC,40466.0,Merkur Spielarena,Christian Dingert
6,1.0,Sun,2023-07-30,13:30,Braunschweig,0.4,0–1,1.3,Holstein Kiel,20002.0,Eintracht-Stadion,Aarne Aarnink
7,1.0,Sun,2023-07-30,13:30,Greuther Fürth,3.4,5–0,0.2,Paderborn 07,10547.0,Sportpark Ronhof Thomas Sommer,Richard Hempel
8,1.0,Sun,2023-07-30,13:30,Hansa Rostock,0.8,2–0,1.8,Nürnberg,29000.0,Ostseestadion,Florian Heft
10,2.0,Fri,2023-08-04,18:30,Paderborn 07,1.6,1–1,0.6,Osnabrück,14789.0,Home Deluxe Arena,Tobias Stieler
11,2.0,Fri,2023-08-04,18:30,Hertha BSC,1.7,0–1,1.1,Wehen,40075.0,Olympiastadion Berlin,Florian Lechner
12,2.0,Sat,2023-08-05,13:00,St. Pauli,1.4,0–0,0.6,Düsseldorf,29546.0,Millerntor-Stadion,Daniel Schlager
13,2.0,Sat,2023-08-05,13:00,Elversberg,1.9,1–2,1.1,Hansa Rostock,8371.0,Ursapharm-Arena an der Kaiserlinde,Robert Kampka
14,2.0,Sat,2023-08-05,13:00,Holstein Kiel,2.0,2–1,1.3,Greuther Fürth,11790.0,Holstein-Stadion,Tobias Reichel
15,2.0,Sat,2023-08-05,20:30,Schalke 04,2.5,3–0,1.1,Kaiserslautern,61801.0,Veltins-Arena,Harm Osmers
16,2.0,Sun,2023-08-06,13:30,Karlsruher,2.5,2–2,2.0,Hamburger SV,33000.0,BBBank Wildpark,Felix Brych
17,2.0,Sun,2023-08-06,13:30,Nürnberg,1.1,2–2,2.5,Hannover 96,30012.0,Max-Morlock-Stadion,Patrick Alt
18,2.0,Sun,2023-08-06,13:30,Magdeburg,1.7,2–1,1.1,Braunschweig,28350.0,MDCC-Arena,Daniel Siebert
20,3.0,Fri,2023-08-18,18:30,Kaiserslautern,2.4,3–2,2.1,Elversberg,42621.0,Fritz-Walter-Stadion,Patrick Ittrich
21,3.0,Fri,2023-08-18,18:30,Wehen,1.0,1–0,1.5,Karlsruher,10626.0,BRITA-Arena,Wolfgang Haslberger
22,3.0,Sat,2023-08-19,13:00,Hansa Rostock,1.5,1–2,1.4,Hannover 96,25700.0,Ostseestadion,Florian Exner
23,3.0,Sat,2023-08-19,13:00,Düsseldorf,1.6,1–2,1.4,Paderborn 07,30312.0,Merkur Spielarena,Robert Hartmann
24,3.0,Sat,2023-08-19,13:00,Greuther Fürth,1.0,0–0,1.1,St. Pauli,12207.0,Sportpark Ronhof Thomas Sommer,Tom Bauer
25,3.0,Sat,2023-08-19,20:30,Hamburger SV,3.2,3–0,0.4,Hertha BSC,57000.0,Volksparkstadion,Frank Willenborg
26,3.0,Sun,2023-08-20,13:30,Braunschweig,2.3,1–0,1.4,Schalke 04,21800.0,Eintracht-Stadion,Bastian Dankert
